,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
412,2.0,4.0,4.0,4.0,966.0,4.0,1.0,2.0,3.0
426,2.0,4.0,2.0,4.0,292.0,4.0,1.0,2.0,3.0
430,2.0,4.0,4.0,4.0,637.0,4.0,1.0,2.0,3.0
432,2.0,4.0,4.0,4.0,665.0,4.0,1.0,2.0,3.0
433,2.0,4.0,2.0,4.0,1126.0,4.0,1.0,2.0,3.0
438,2.0,4.0,4.0,4.0,500.0,4.0,1.0,2.0,3.0
440,2.0,4.0,4.0,4.0,1239.0,4.0,1.0,2.0,3.0
455,2.0,4.0,4.0,4.0,365.0,4.0,1.0,2.0,3.0
459,2.0,4.0,4.0,4.0,1400.0,4.0,1.0,2.0,3.0
466,2.0,4.0,4.0,4.0,1217.0,4.0,1.0,2.0,3.0
474,2.0,4.0,4.0,4.0,350.0,4.0,1.0,2.0,3.0
475,2.0,4.0,4.0,4.0,183.0,4.0,1.0,2.0,3.0
480,4.0,4.0,2.0,4.0,410.0,4.0,3.0,2.0,3.0
494,2.0,4.0,4.0,4.0,380.0,4.0,1.0,2.0,3.0
506,2.0,4.0,4.0,4.0,542.0,4.0,1.0,2.0,3.0
517,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,1.0
527,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
530,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,2.0,3.0
535,2.0,4.0,4.0,4.0,421.0,4.0,1.0,2.0,3.0
538,2.0,4.0,4.0,4.0,250.0,4.0,1.0,2.0,3.0
547,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
548,2.0,4.0,4.0,4.0,1800.0,4.0,1.0,2.0,1.0
558,4.0,2.0,2.0,4.0,344.0,2.0,3.0,2.0,3.0
579,2.0,4.0,2.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
589,2.0,4.0,4.0,4.0,450.0,4.0,1.0,2.0,3.0
597,2.0,4.0,4.0,4.0,296.0,4.0,1.0,2.0,3.0
612,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,3.0
613,2.0,4.0,4.0,4.0,708.0,4.0,1.0,2.0,3.0
615,2.0,4.0,4.0,4.0,437.0,4.0,1.0,2.0,3.0
619,2.0,4.0,4.0,4.0,950.0,4.0,1.0,2.0,1.0
625,2.0,4.0,4.0,4.0,546.0,4.0,1.0,2.0,3.0
647,2.0,4.0,4.0,4.0,969.0,4.0,1.0,2.0,1.0
650,2.0,2.0,4.0,4.0,1000.0,2.0,1.0,2.0,3.0
656,2.0,4.0,4.0,4.0,815.0,4.0,1.0,4.0,3.0
670,2.0,4.0,4.0,4.0,2900.0,4.0,1.0,2.0,3.0
673,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,3.0
674,2.0,4.0,2.0,4.0,2000.0,4.0,1.0,2.0,1.0
679,2.0,4.0,4.0,4.0,1666.0,4.0,1.0,2.0,3.0
682,2.0,4.0,4.0,4.0,680.0,4.0,1.0,2.0,3.0
683,2.0,4.0,4.0,4.0,0.0,4.0,1.0,2.0,3.0
684,2.0,4.0,4.0,4.0,740.0,4.0,1.0,2.0,1.0
685,2.0,4.0,4.0,4.0,890.0,4.0,1.0,2.0,3.0
687,2.0,4.0,4.0,4.0,1900.0,4.0,1.0,2.0,1.0
696,2.0,4.0,4.0,4.0,350.0,4.0,1.0,2.0,3.0
699,2.0,4.0,2.0,4.0,1200.0,4.0,1.0,2.0,3.0
702,2.0,2.0,2.0,4.0,6900.0,2.0,1.0,2.0,1.0
703,2.0,4.0,4.0,4.0,1209.0,4.0,1.0,2.0,3.0
708,2.0,2.0,4.0,4.0,2333.0,2.0,1.0,2.0,3.0
709,4.0,4.0,2.0,4.0,550.0,4.0,3.0,2.0,3.0
710,2.0,4.0,4.0,4.0,0.0,4.0,1.0,2.0,3.0
719,2.0,4.0,4.0,4.0,200.0,4.0,1.0,2.0,3.0
724,4.0,4.0,2.0,4.0,476.0,4.0,3.0,2.0,3.0
730,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,3.0
732,2.0,4.0,4.0,4.0,678.0,4.0,1.0,2.0,3.0
734,2.0,4.0,4.0,4.0,1333.0,4.0,1.0,2.0,3.0
740,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,2.0,1.0
744,2.0,4.0,4.0,4.0,660.0,4.0,1.0,2.0,3.0
745,2.0,4.0,2.0,4.0,1356.0,4.0,1.0,2.0,3.0
746,2.0,4.0,4.0,4.0,4169.0,4.0,1.0,2.0,1.0
751,2.0,4.0,4.0,4.0,5000.0,4.0,1.0,2.0,1.0
754,2.0,4.0,4.0,4.0,368.0,4.0,1.0,2.0,3.0
755,2.0,4.0,4.0,4.0,958.0,4.0,1.0,2.0,3.0
757,2.0,4.0,4.0,4.0,500.0,4.0,1.0,4.0,1.0
760,2.0,4.0,2.0,2.0,1980.0,4.0,1.0,2.0,3.0
766,2.0,4.0,2.0,4.0,1421.0,4.0,1.0,2.0,3.0
772,2.0,4.0,2.0,4.0,1383.0,4.0,1.0,2.0,1.0
773,2.0,4.0,4.0,4.0,534.0,4.0,1.0,2.0,3.0
777,2.0,4.0,4.0,4.0,1500.0,4.0,1.0,2.0,3.0
778,2.0,4.0,2.0,4.0,1800.0,4.0,1.0,2.0,1.0
779,2.0,4.0,4.0,4.0,966.0,4.0,1.0,2.0,3.0
780,2.0,4.0,4.0,4.0,2226.0,4.0,1.0,2.0,3.0
781,2.0,2.0,2.0,4.0,850.0,2.0,1.0,2.0,3.0
782,2.0,4.0,2.0,4.0,1140.0,4.0,1.0,2.0,3.0
783,2.0,4.0,4.0,4.0,848.0,4.0,1.0,2.0,1.0
788,2.0,4.0,4.0,4.0,666.0,4.0,1.0,2.0,3.0
791,2.0,4.0,4.0,4.0,528.0,4.0,1.0,2.0,3.0
793,2.0,2.0,2.0,4.0,2500.0,2.0,1.0,2.0,1.0
797,2.0,4.0,2.0,4.0,1006.0,4.0,1.0,2.0,3.0
800,2.0,4.0,4.0,4.0,919.0,4.0,1.0,2.0,1.0
803,2.0,4.0,4.0,4.0,662.0,4.0,1.0,2.0,1.0
805,4.0,4.0,2.0,4.0,530.0,4.0,3.0,2.0,3.0
806,4.0,4.0,2.0,4.0,1266.0,4.0,1.0,2.0,3.0
808,2.0,4.0,2.0,2.0,8000.0,2.0,1.0,2.0,1.0
810,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,1.0
811,4.0,4.0,2.0,4.0,234.0,4.0,3.0,2.0,3.0
816,4.0,4.0,2.0,4.0,225.0,4.0,3.0,2.0,3.0
817,4.0,4.0,2.0,4.0,628.0,4.0,3.0,2.0,3.0
823,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
831,2.0,4.0,4.0,4.0,225.0,4.0,1.0,2.0,3.0
832,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
833,4.0,4.0,2.0,4.0,516.0,4.0,3.0,2.0,3.0
836,2.0,4.0,4.0,4.0,240.0,4.0,1.0,2.0,3.0
844,2.0,4.0,4.0,4.0,640.0,4.0,1.0,2.0,3.0
871,2.0,4.0,4.0,4.0,666.0,4.0,1.0,2.0,3.0
881,2.0,4.0,4.0,4.0,440.0,4.0,1.0,2.0,3.0
884,2.0,4.0,2.0,4.0,675.0,4.0,1.0,2.0,3.0
885,2.0,4.0,4.0,4.0,2550.0,4.0,1.0,2.0,3.0
887,2.0,4.0,4.0,4.0,394.0,4.0,1.0,2.0,3.0
907,2.0,4.0,4.0,4.0,1189.0,4.0,1.0,2.0,3.0
909,2.0,2.0,4.0,4.0,795.0,2.0,1.0,2.0,3.0
920,2.0,4.0,2.0,4.0,335.0,4.0,1.0,2.0,3.0
930,4.0,4.0,2.0,4.0,500.0,4.0,3.0,2.0,3.0
933,4.0,4.0,2.0,4.0,1750.0,2.0,1.0,2.0,1.0
951,2.0,4.0,4.0,4.0,678.0,4.0,1.0,2.0,3.0
968,2.0,4.0,2.0,4.0,875.0,4.0,1.0,2.0,1.0
970,2.0,4.0,4.0,4.0,933.0,2.0,1.0,2.0,3.0
972,2.0,4.0,4.0,4.0,1020.0,4.0,1.0,2.0,3.0
974,2.0,4.0,2.0,4.0,1021.0,4.0,1.0,2.0,3.0
976,2.0,4.0,4.0,4.0,1500.0,4.0,1.0,2.0,3.0
978,2.0,4.0,4.0,4.0,1500.0,4.0,1.0,2.0,3.0
985,2.0,2.0,2.0,4.0,2160.0,2.0,1.0,2.0,1.0
988,2.0,4.0,2.0,4.0,733.0,4.0,1.0,2.0,3.0
991,2.0,4.0,2.0,4.0,6500.0,4.0,1.0,2.0,1.0
998,2.0,4.0,4.0,4.0,500.0,4.0,1.0,2.0,3.0
999,2.0,4.0,4.0,4.0,650.0,4.0,1.0,2.0,3.0
1000,2.0,4.0,2.0,4.0,550.0,4.0,1.0,2.0,3.0
1007,4.0,4.0,2.0,4.0,1333.0,4.0,3.0,2.0,3.0
1012,2.0,4.0,2.0,4.0,1592.0,4.0,1.0,2.0,3.0
1018,2.0,4.0,4.0,4.0,283.0,4.0,1.0,2.0,3.0
1033,2.0,4.0,2.0,4.0,450.0,4.0,1.0,2.0,3.0
1034,4.0,4.0,2.0,4.0,366.0,4.0,1.0,2.0,3.0
1041,2.0,4.0,4.0,4.0,550.0,4.0,1.0,2.0,3.0
1044,4.0,4.0,2.0,4.0,519.0,4.0,3.0,2.0,3.0
1047,4.0,4.0,2.0,4.0,750.0,4.0,1.0,2.0,3.0
1048,2.0,4.0,4.0,4.0,500.0,4.0,1.0,2.0,3.0
1050,2.0,4.0,4.0,4.0,726.0,4.0,1.0,2.0,3.0
1053,2.0,4.0,4.0,4.0,719.0,4.0,1.0,2.0,3.0
1059,2.0,4.0,2.0,4.0,5500.0,4.0,1.0,2.0,3.0
1063,2.0,4.0,4.0,4.0,1059.0,4.0,1.0,2.0,1.0
1068,2.0,2.0,2.0,4.0,535.0,2.0,1.0,2.0,3.0
1078,4.0,4.0,2.0,4.0,582.0,4.0,3.0,2.0,3.0
1085,4.0,4.0,2.0,4.0,900.0,4.0,3.0,2.0,3.0
1087,2.0,2.0,2.0,4.0,575.0,2.0,1.0,2.0,3.0
1094,2.0,4.0,4.0,4.0,650.0,4.0,1.0,2.0,3.0
1095,2.0,4.0,4.0,4.0,444.0,4.0,1.0,2.0,3.0
1096,2.0,4.0,4.0,4.0,1337.0,4.0,1.0,2.0,3.0
1111,2.0,4.0,4.0,4.0,68.0,4.0,1.0,4.0,3.0
1115,2.0,4.0,4.0,4.0,883.0,4.0,1.0,2.0,3.0
1122,4.0,4.0,2.0,4.0,240.0,4.0,3.0,2.0,3.0
1124,2.0,4.0,4.0,4.0,760.0,4.0,1.0,2.0,3.0
1129,4.0,4.0,2.0,4.0,171.0,4.0,3.0,2.0,3.0
1130,4.0,4.0,2.0,4.0,0.0,4.0,3.0,2.0,3.0
1131,4.0,4.0,2.0,4.0,500.0,4.0,3.0,2.0,3.0
1134,2.0,4.0,4.0,4.0,519.0,4.0,1.0,2.0,3.0
1135,2.0,4.0,4.0,4.0,340.0,4.0,1.0,2.0,3.0
1136,2.0,4.0,2.0,4.0,550.0,4.0,1.0,2.0,3.0
1138,4.0,2.0,4.0,4.0,750.0,2.0,3.0,2.0,3.0
1145,4.0,4.0,2.0,4.0,610.0,4.0,3.0,2.0,3.0
1149,4.0,4.0,4.0,4.0,750.0,2.0,3.0,2.0,3.0
1150,2.0,4.0,4.0,4.0,1025.0,4.0,1.0,2.0,3.0
1180,2.0,4.0,4.0,4.0,594.0,4.0,1.0,2.0,3.0
1194,4.0,4.0,2.0,4.0,2896.0,4.0,3.0,2.0,3.0
1196,2.0,4.0,4.0,4.0,2500.0,4.0,1.0,2.0,3.0
1200,2.0,4.0,2.0,4.0,3650.0,4.0,1.0,2.0,1.0
1201,4.0,4.0,2.0,4.0,1772.0,4.0,3.0,2.0,1.0
1206,2.0,4.0,2.0,4.0,1500.0,4.0,1.0,2.0,1.0
1208,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,1.0
1209,4.0,4.0,2.0,4.0,1366.0,4.0,3.0,2.0,3.0
1216,2.0,4.0,2.0,4.0,1600.0,4.0,1.0,2.0,3.0
1221,2.0,4.0,2.0,4.0,3000.0,4.0,1.0,2.0,1.0
1223,2.0,4.0,2.0,2.0,1750.0,4.0,1.0,2.0,1.0
1225,2.0,4.0,2.0,2.0,3250.0,4.0,1.0,2.0,1.0
1226,2.0,2.0,2.0,4.0,3500.0,2.0,1.0,2.0,1.0
1229,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,4.0,1.0
1231,2.0,4.0,4.0,4.0,2100.0,4.0,1.0,2.0,3.0
1233,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,3.0
1234,2.0,4.0,4.0,4.0,600.0,4.0,1.0,4.0,3.0
1236,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,1.0
1237,2.0,4.0,4.0,4.0,2433.0,4.0,1.0,2.0,1.0
1238,2.0,4.0,2.0,4.0,296.0,4.0,1.0,2.0,3.0
1239,2.0,4.0,4.0,4.0,2025.0,4.0,1.0,2.0,1.0
1243,2.0,4.0,4.0,4.0,7000.0,4.0,1.0,2.0,1.0
1248,2.0,4.0,2.0,4.0,316.0,4.0,1.0,2.0,3.0
1249,2.0,4.0,2.0,4.0,700.0,4.0,1.0,2.0,3.0
1251,2.0,4.0,2.0,4.0,800.0,4.0,1.0,2.0,1.0
1252,2.0,4.0,2.0,4.0,1250.0,4.0,1.0,2.0,1.0
1254,2.0,4.0,2.0,4.0,700.0,4.0,1.0,2.0,3.0
1256,2.0,4.0,2.0,4.0,1074.0,4.0,1.0,2.0,1.0
1266,2.0,4.0,4.0,4.0,844.0,4.0,1.0,2.0,3.0
1268,2.0,4.0,4.0,4.0,2308.0,2.0,1.0,2.0,1.0
1272,2.0,4.0,2.0,4.0,916.0,4.0,1.0,2.0,1.0
1273,2.0,4.0,4.0,4.0,1128.0,4.0,1.0,2.0,1.0
1276,2.0,4.0,4.0,4.0,3000.0,4.0,1.0,2.0,3.0
1277,2.0,4.0,4.0,4.0,525.0,4.0,1.0,2.0,1.0
1278,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
1283,2.0,4.0,4.0,4.0,1200.0,4.0,1.0,2.0,3.0
1289,2.0,4.0,4.0,4.0,257.0,4.0,1.0,2.0,1.0
1290,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,3.0
1292,2.0,2.0,4.0,4.0,1466.0,2.0,1.0,2.0,3.0
1293,2.0,4.0,4.0,4.0,6833.0,4.0,1.0,2.0,3.0
1294,2.0,4.0,4.0,4.0,2545.0,4.0,1.0,2.0,1.0
1299,2.0,4.0,4.0,4.0,750.0,4.0,1.0,2.0,3.0
1301,2.0,4.0,4.0,4.0,2575.0,4.0,1.0,2.0,1.0
1303,2.0,4.0,4.0,4.0,3000.0,4.0,1.0,2.0,1.0
1304,2.0,4.0,2.0,2.0,6000.0,4.0,1.0,2.0,1.0
1305,2.0,4.0,2.0,4.0,4500.0,4.0,1.0,2.0,1.0
1306,2.0,4.0,2.0,4.0,3500.0,4.0,1.0,2.0,1.0
1312,2.0,4.0,2.0,4.0,1000.0,4.0,1.0,2.0,3.0
1317,2.0,4.0,2.0,2.0,1069.0,4.0,1.0,2.0,1.0
1320,2.0,4.0,4.0,2.0,666.0,4.0,1.0,4.0,1.0
1321,4.0,4.0,2.0,2.0,1200.0,4.0,3.0,2.0,1.0
1322,2.0,2.0,2.0,2.0,3300.0,2.0,1.0,2.0,1.0
1325,2.0,4.0,2.0,2.0,5400.0,4.0,1.0,2.0,1.0
1329,4.0,4.0,2.0,2.0,771.0,4.0,3.0,2.0,3.0
1335,2.0,4.0,2.0,4.0,2500.0,4.0,1.0,2.0,3.0
1336,2.0,4.0,4.0,4.0,160.0,4.0,1.0,2.0,3.0
1342,2.0,4.0,4.0,4.0,1125.0,4.0,1.0,2.0,3.0
1344,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
1345,2.0,4.0,2.0,4.0,1166.0,4.0,1.0,2.0,1.0
1346,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
1347,2.0,4.0,4.0,4.0,2400.0,4.0,1.0,2.0,1.0
1349,2.0,4.0,4.0,4.0,964.0,4.0,1.0,2.0,1.0
1350,2.0,4.0,2.0,4.0,999999999999.0,4.0,1.0,2.0,1.0
1353,2.0,4.0,4.0,4.0,6500.0,4.0,1.0,2.0,3.0
1355,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,1.0
1357,2.0,4.0,4.0,4.0,700.0,4.0,1.0,2.0,1.0
1361,2.0,4.0,4.0,4.0,5000.0,4.0,1.0,2.0,1.0
1362,2.0,4.0,2.0,4.0,1142.0,4.0,1.0,2.0,1.0
1364,2.0,4.0,4.0,4.0,1225.0,4.0,1.0,2.0,3.0
1368,2.0,4.0,2.0,4.0,750.0,4.0,1.0,2.0,1.0
1374,2.0,4.0,2.0,2.0,1839.0,4.0,1.0,2.0,1.0
1379,2.0,4.0,4.0,4.0,2250.0,4.0,1.0,2.0,3.0
1381,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,1.0
1382,2.0,4.0,4.0,4.0,24.0,4.0,1.0,2.0,3.0
1383,2.0,4.0,4.0,4.0,2900.0,4.0,1.0,2.0,3.0
1387,2.0,4.0,4.0,4.0,375.0,4.0,1.0,2.0,3.0
1388,2.0,4.0,4.0,4.0,666.0,4.0,1.0,2.0,3.0
1391,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,1.0
1393,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
1395,2.0,4.0,4.0,4.0,639.0,4.0,1.0,2.0,3.0
1397,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,1.0
1399,2.0,4.0,4.0,4.0,550.0,4.0,1.0,2.0,3.0
1402,2.0,2.0,4.0,4.0,554.0,2.0,1.0,2.0,3.0
1403,2.0,4.0,4.0,4.0,894.0,4.0,1.0,2.0,3.0
1406,2.0,4.0,4.0,4.0,329.0,4.0,1.0,2.0,1.0
1407,2.0,4.0,4.0,4.0,375.0,4.0,1.0,2.0,1.0
1409,2.0,2.0,4.0,4.0,1360.0,2.0,1.0,2.0,3.0
1411,2.0,4.0,4.0,4.0,1166.0,4.0,1.0,2.0,3.0
1416,2.0,4.0,4.0,4.0,425.0,4.0,1.0,2.0,3.0
