,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
7,2.0,4.0,2.0,4.0,1333.0,4.0,1.0,2.0,1.0
8,2.0,4.0,2.0,4.0,1750.0,4.0,1.0,2.0,3.0
9,4.0,4.0,2.0,4.0,1300.0,4.0,3.0,2.0,3.0
17,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,2.0,3.0
22,2.0,4.0,4.0,4.0,1500.0,4.0,1.0,2.0,3.0
24,2.0,4.0,4.0,4.0,2410.0,4.0,1.0,2.0,3.0
28,2.0,4.0,4.0,4.0,960.0,4.0,1.0,2.0,1.0
29,2.0,2.0,4.0,4.0,800.0,2.0,1.0,2.0,1.0
31,2.0,4.0,2.0,4.0,1833.0,4.0,1.0,2.0,1.0
32,2.0,4.0,4.0,4.0,2000.0,4.0,1.0,2.0,1.0
34,2.0,2.0,2.0,4.0,2000.0,2.0,1.0,2.0,3.0
36,2.0,4.0,2.0,4.0,862.0,2.0,1.0,2.0,3.0
40,2.0,4.0,4.0,4.0,447.0,4.0,1.0,2.0,1.0
43,2.0,4.0,4.0,4.0,335.0,4.0,1.0,2.0,1.0
46,2.0,2.0,4.0,4.0,466.0,2.0,1.0,2.0,1.0
47,2.0,4.0,4.0,4.0,705.0,4.0,1.0,2.0,3.0
51,4.0,4.0,2.0,4.0,339.0,4.0,3.0,2.0,3.0
53,2.0,4.0,2.0,4.0,0.0,4.0,1.0,2.0,3.0
59,2.0,4.0,2.0,4.0,525.0,4.0,1.0,2.0,3.0
66,2.0,4.0,2.0,4.0,580.0,4.0,1.0,2.0,3.0
77,2.0,4.0,2.0,4.0,2217.0,4.0,1.0,2.0,3.0
80,2.0,4.0,2.0,4.0,355.0,4.0,1.0,2.0,3.0
82,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
84,2.0,4.0,4.0,4.0,300.0,4.0,1.0,2.0,3.0
85,2.0,4.0,4.0,4.0,326.0,4.0,1.0,2.0,3.0
86,2.0,4.0,4.0,4.0,640.0,4.0,1.0,2.0,3.0
87,4.0,4.0,2.0,4.0,725.0,4.0,3.0,2.0,3.0
89,2.0,4.0,4.0,4.0,169.0,4.0,1.0,2.0,3.0
92,2.0,4.0,4.0,4.0,246.0,4.0,1.0,2.0,3.0
93,2.0,4.0,4.0,4.0,375.0,4.0,1.0,2.0,3.0
95,4.0,4.0,2.0,4.0,433.0,4.0,3.0,2.0,3.0
99,2.0,4.0,2.0,4.0,1300.0,4.0,1.0,2.0,3.0
102,4.0,4.0,2.0,4.0,500.0,4.0,3.0,2.0,3.0
114,4.0,4.0,2.0,4.0,1277.0,4.0,3.0,2.0,3.0
118,2.0,4.0,2.0,4.0,1221.0,4.0,1.0,2.0,1.0
134,2.0,4.0,4.0,4.0,0.0,4.0,1.0,2.0,3.0
151,2.0,4.0,2.0,4.0,1666.0,4.0,1.0,2.0,3.0
155,2.0,4.0,2.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
156,2.0,4.0,4.0,4.0,388.0,4.0,1.0,2.0,3.0
159,2.0,4.0,4.0,4.0,192.0,4.0,1.0,2.0,3.0
162,2.0,4.0,4.0,4.0,375.0,4.0,1.0,2.0,3.0
165,2.0,4.0,2.0,4.0,680.0,4.0,1.0,2.0,3.0
168,2.0,4.0,4.0,4.0,330.0,4.0,1.0,2.0,3.0
173,2.0,4.0,4.0,4.0,1000.0,4.0,1.0,2.0,1.0
175,2.0,4.0,4.0,4.0,1066.0,4.0,1.0,2.0,3.0
176,2.0,4.0,2.0,4.0,640.0,2.0,1.0,2.0,3.0
179,2.0,4.0,4.0,4.0,739.0,4.0,1.0,2.0,3.0
184,2.0,4.0,4.0,4.0,747.0,4.0,1.0,2.0,3.0
185,2.0,4.0,4.0,4.0,999999999999.0,4.0,1.0,2.0,3.0
186,2.0,4.0,2.0,4.0,2000.0,4.0,1.0,2.0,3.0
187,4.0,4.0,2.0,4.0,636.0,4.0,3.0,2.0,3.0
192,2.0,4.0,4.0,4.0,275.0,4.0,1.0,2.0,3.0
200,2.0,4.0,4.0,4.0,4766.0,4.0,1.0,2.0,3.0
205,2.0,4.0,4.0,4.0,140.0,4.0,1.0,2.0,3.0
207,2.0,4.0,4.0,4.0,933.0,4.0,1.0,2.0,3.0
213,2.0,4.0,4.0,4.0,275.0,4.0,1.0,2.0,3.0
218,2.0,4.0,4.0,4.0,1330.0,4.0,1.0,4.0,3.0
225,2.0,4.0,2.0,4.0,2166.0,4.0,1.0,2.0,3.0
228,2.0,2.0,2.0,4.0,5666.0,2.0,1.0,2.0,1.0
229,2.0,4.0,4.0,4.0,1014.0,4.0,1.0,2.0,3.0
230,2.0,4.0,2.0,4.0,919.0,4.0,1.0,2.0,3.0
231,2.0,4.0,2.0,4.0,1000.0,4.0,1.0,2.0,3.0
232,2.0,2.0,4.0,4.0,1100.0,2.0,1.0,2.0,3.0
235,2.0,4.0,2.0,4.0,2000.0,4.0,1.0,2.0,1.0
240,2.0,4.0,2.0,4.0,1500.0,4.0,1.0,2.0,3.0
242,2.0,4.0,4.0,4.0,482.0,4.0,1.0,2.0,3.0
243,2.0,2.0,4.0,4.0,1539.0,2.0,1.0,2.0,3.0
246,2.0,2.0,2.0,4.0,2663.0,2.0,1.0,2.0,1.0
247,4.0,4.0,2.0,4.0,1500.0,4.0,1.0,2.0,1.0
250,2.0,4.0,4.0,4.0,687.0,4.0,1.0,2.0,3.0
252,2.0,4.0,4.0,4.0,400.0,4.0,1.0,2.0,3.0
253,2.0,4.0,2.0,4.0,1282.0,4.0,1.0,2.0,3.0
258,2.0,4.0,4.0,4.0,300.0,4.0,1.0,2.0,3.0
259,2.0,4.0,4.0,4.0,135.0,4.0,1.0,2.0,3.0
262,2.0,4.0,4.0,4.0,350.0,4.0,1.0,2.0,3.0
271,2.0,4.0,4.0,4.0,1250.0,4.0,1.0,2.0,3.0
274,2.0,4.0,2.0,4.0,1061.0,4.0,1.0,2.0,3.0
275,2.0,4.0,2.0,4.0,950.0,4.0,1.0,2.0,3.0
277,2.0,4.0,4.0,4.0,1150.0,4.0,1.0,2.0,3.0
278,4.0,4.0,2.0,4.0,1500.0,4.0,1.0,2.0,3.0
279,2.0,4.0,4.0,4.0,590.0,4.0,1.0,2.0,3.0
281,2.0,2.0,4.0,4.0,2263.0,2.0,1.0,2.0,1.0
283,2.0,4.0,2.0,4.0,850.0,4.0,1.0,2.0,3.0
287,4.0,4.0,2.0,4.0,1100.0,4.0,3.0,2.0,1.0
288,2.0,4.0,2.0,4.0,852.0,4.0,1.0,2.0,3.0
294,2.0,4.0,2.0,4.0,1166.0,4.0,1.0,2.0,3.0
296,4.0,4.0,2.0,4.0,1160.0,4.0,3.0,2.0,3.0
297,2.0,4.0,4.0,4.0,313.0,4.0,1.0,2.0,3.0
302,2.0,4.0,4.0,4.0,850.0,4.0,1.0,2.0,3.0
303,2.0,4.0,4.0,4.0,329.0,4.0,1.0,2.0,3.0
304,4.0,4.0,2.0,4.0,427.0,4.0,3.0,2.0,3.0
306,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
312,4.0,4.0,2.0,4.0,292.0,4.0,3.0,2.0,3.0
315,2.0,4.0,4.0,4.0,1650.0,4.0,1.0,2.0,3.0
317,2.0,4.0,4.0,4.0,571.0,4.0,1.0,2.0,3.0
320,2.0,4.0,4.0,4.0,482.0,4.0,1.0,2.0,3.0
323,2.0,4.0,4.0,4.0,4000.0,4.0,1.0,2.0,1.0
324,2.0,2.0,2.0,4.0,6213.0,2.0,1.0,2.0,1.0
337,2.0,4.0,2.0,4.0,1100.0,4.0,1.0,2.0,3.0
355,2.0,4.0,2.0,4.0,1350.0,4.0,1.0,2.0,3.0
362,2.0,4.0,4.0,4.0,658.0,4.0,1.0,2.0,3.0
373,2.0,4.0,4.0,4.0,1050.0,4.0,1.0,2.0,3.0
376,2.0,4.0,4.0,4.0,1211.0,4.0,1.0,2.0,3.0
378,2.0,4.0,4.0,4.0,992.0,4.0,1.0,2.0,3.0
381,2.0,4.0,2.0,4.0,6000.0,4.0,1.0,2.0,3.0
383,2.0,4.0,2.0,4.0,900.0,4.0,1.0,2.0,3.0
384,2.0,4.0,2.0,4.0,1075.0,4.0,1.0,2.0,3.0
386,2.0,2.0,2.0,4.0,2347.0,2.0,1.0,2.0,3.0
387,2.0,4.0,4.0,2.0,3400.0,4.0,1.0,2.0,1.0
389,2.0,4.0,4.0,4.0,2175.0,2.0,1.0,2.0,1.0
393,2.0,4.0,2.0,4.0,2833.0,4.0,1.0,2.0,3.0
402,4.0,4.0,2.0,4.0,933.0,4.0,3.0,2.0,3.0
404,4.0,4.0,2.0,4.0,0.0,4.0,1.0,2.0,3.0
407,2.0,4.0,4.0,4.0,1226.0,4.0,1.0,2.0,3.0
