,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
237,2.0,4.0,2.0,4.0,1600.0,4.0,1.0,2.0,3.0
240,2.0,4.0,2.0,4.0,1230.0,4.0,1.0,2.0,3.0
243,2.0,2.0,2.0,4.0,3133.0,2.0,1.0,2.0,3.0
244,2.0,4.0,2.0,4.0,2000.0,4.0,1.0,2.0,3.0
245,2.0,4.0,2.0,4.0,875.0,4.0,1.0,2.0,3.0
247,2.0,4.0,2.0,4.0,850.0,4.0,1.0,2.0,1.0
249,2.0,2.0,2.0,4.0,1125.0,2.0,1.0,2.0,3.0
250,4.0,4.0,2.0,4.0,1150.0,4.0,3.0,2.0,3.0
255,4.0,4.0,2.0,4.0,999999999999.0,4.0,3.0,2.0,3.0
257,2.0,4.0,2.0,4.0,1080.0,4.0,1.0,2.0,3.0
264,2.0,4.0,2.0,4.0,876.0,4.0,1.0,2.0,3.0
272,2.0,4.0,4.0,4.0,808.0,4.0,1.0,2.0,3.0
274,2.0,2.0,2.0,4.0,1575.0,2.0,1.0,2.0,3.0
277,2.0,2.0,2.0,4.0,2000.0,2.0,1.0,2.0,3.0
278,2.0,4.0,2.0,4.0,950.0,4.0,1.0,2.0,1.0
280,2.0,2.0,2.0,4.0,4000.0,2.0,1.0,2.0,1.0
284,2.0,4.0,2.0,4.0,2200.0,4.0,1.0,2.0,3.0
285,2.0,4.0,4.0,4.0,907.0,4.0,1.0,2.0,3.0
286,4.0,4.0,2.0,4.0,1550.0,4.0,3.0,2.0,3.0
293,4.0,4.0,2.0,4.0,759.0,4.0,3.0,2.0,3.0
294,2.0,4.0,2.0,4.0,309.0,4.0,1.0,2.0,3.0
297,2.0,4.0,2.0,4.0,1700.0,4.0,1.0,2.0,1.0
298,2.0,4.0,2.0,4.0,500.0,4.0,1.0,2.0,3.0
300,4.0,4.0,2.0,4.0,197.0,4.0,3.0,2.0,3.0
303,2.0,4.0,2.0,4.0,3000.0,4.0,1.0,2.0,3.0
304,2.0,4.0,2.0,4.0,375.0,4.0,1.0,2.0,3.0
308,2.0,4.0,2.0,4.0,1788.0,4.0,1.0,2.0,3.0
309,4.0,4.0,2.0,4.0,600.0,4.0,3.0,2.0,3.0
318,2.0,4.0,2.0,4.0,2150.0,4.0,1.0,2.0,3.0
319,4.0,4.0,2.0,4.0,1800.0,4.0,3.0,2.0,3.0
321,4.0,4.0,2.0,4.0,900.0,4.0,1.0,2.0,1.0
323,2.0,4.0,4.0,4.0,677.0,4.0,1.0,2.0,3.0
325,2.0,4.0,4.0,4.0,744.0,4.0,1.0,2.0,3.0
329,2.0,4.0,2.0,4.0,683.0,2.0,1.0,2.0,3.0
330,2.0,4.0,2.0,4.0,13666.0,2.0,1.0,2.0,1.0
333,2.0,4.0,2.0,4.0,1950.0,4.0,1.0,2.0,1.0
339,2.0,2.0,2.0,4.0,999999999999.0,2.0,1.0,2.0,3.0
341,4.0,4.0,2.0,4.0,2197.0,4.0,3.0,2.0,3.0
342,2.0,4.0,2.0,4.0,800.0,4.0,1.0,2.0,1.0
343,2.0,4.0,2.0,2.0,829.0,4.0,1.0,2.0,1.0
345,2.0,4.0,4.0,4.0,133.0,4.0,1.0,2.0,3.0
347,4.0,4.0,2.0,4.0,331.0,4.0,3.0,2.0,3.0
